Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,AutoSize,,,
LOC,LOC FCR-1.52-1.14,Centering Ring,mm,29.21,38.5826,12.7,Paper,6.35,g,3.3,0
LOC Precision,LOC CR-2.14-(2)0.95,Centering Ring,1,25.4,54.4,3.17,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-2.14-1.14,Centering Ring,0,1.21,2.14,0.125,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-2.14-1.52,Centering Ring,0,1.64,2.14,0.125,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-2.56-(2)0.95,Centering Ring,1,25.4,65,3.17,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-2.56-(3)0.95,Centering Ring,1,25.4,65,3.17,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-2.56-(4)0.95,Centering Ring,1,25.4,65,3.17,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-2.56-0.95,Centering Ring,0,1,2.56,0.125,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-2.56-1.14,Centering Ring,0,1.21,2.56,0.125,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-2.56-1.52,Centering Ring,1,41.5,65,3.17,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-3.00-1.14,Centering Ring,0,1.21,3,0.125,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-3.00-1.52,Centering Ring,0,1.64,3,0.125,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-3.00-2.14,Centering Ring,0,2.26,3,0.125,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-3.9-1.14,Centering Ring,0,1.21,3.9,0.125,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-3.9-1.52,Centering Ring,0,1.64,3.9,0.125,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-3.9-2.14,Centering Ring,0,2.26,3.9,0.125,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-5.38-(3)2.14,Centering Ring,1,57.4,137,4.78,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-5.38-1.52,Centering Ring,0,1.64,5.38,0.188,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-5.38-2.14,Centering Ring,0,2.26,5.38,0.188,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-5.38-3.00,Centering Ring,0,3.18,5.38,0.25,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-5.38-3.9,Centering Ring,0,4.08,5.38,0.25,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-7.51-1.52,Centering Ring,0,1.64,7.51,0.25,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-7.51-2.14,Centering Ring,0,2.26,7.51,0.25,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-7.51-3.00,Centering Ring,0,3.18,7.51,0.25,Aircraft plywood (LOC),0,0,0,0
LOC Precision,LOC CR-7.51-3.9,Centering Ring,0,4.08,7.51,0.25,Aircraft plywood (LOC),0,0,0,0
ProLine Composites,13809,CR 29-38 Fiberglass,0,1.243,1.507,0.27,Fiberglass,1,0,0,0
