Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Engine,,
Semroc,ST-5120,Body Tube,0,0.52,0.54,12,Spiral/Glassine,,0,?
Semroc,ST-5180,Body Tube,0,0.52,0.54,18,Spiral/Glassine,,0,?
Semroc,ST-520,Body Tube,0,0.52,0.54,2,Spiral/Glassine,,0,?
Semroc,ST-560,Body Tube,0,0.52,0.54,6,Spiral/Glassine,,0,?
Semroc,ST-7120,Body Tube,0,0.72,0.76,12,Spiral/Glassine,,0,?
Semroc,ST-7180,Body Tube,0,0.72,0.76,18,Spiral/Glassine,,0,?
Semroc,ST-720,Body Tube,0,0.72,0.76,2,Spiral/Glassine,,0,?
Semroc,ST-730,Body Tube,0,0.72,0.76,3,Spiral/Glassine,,0,?
Semroc,ST-740,Body Tube,0,0.72,0.76,4,Spiral/Glassine,,0,?
Semroc,ST-760,Body Tube,0,0.72,0.76,6,Spiral/Glassine,,0,?
Semroc,ST-764,Body Tube,0,0.72,0.76,6.4,Spiral/Glassine,,0,?
Semroc,ST-765,Body Tube,0,0.72,0.76,6.5,Spiral/Glassine,,0,?
Semroc,ST-770,Body Tube,0,0.72,0.76,7,Spiral/Glassine,,0,?
Semroc,ST-790,Body Tube,0,0.72,0.76,9,Spiral/Glassine,,0,?
Semroc,ST-8100,Body Tube,0,0.87,0.91,10,Spiral/Glassine,,0,?
Semroc,ST-8103,Body Tube,0,0.87,0.91,10.3,Spiral/Glassine,,0,?
Semroc,ST-8120,Body Tube,0,0.87,0.91,12,Spiral/Glassine,,0,?
Semroc,ST-8180,Body Tube,0,0.87,0.91,18,Spiral/Glassine,,0,?
Semroc,ST-820,Body Tube,0,0.87,0.91,2,Spiral/Glassine,,0,?
Semroc,ST-830,Body Tube,0,0.87,0.91,3,Spiral/Glassine,,0,?
Semroc,ST-845,Body Tube,0,0.87,0.91,4.5,Spiral/Glassine,,0,?
Semroc,ST-855,Body Tube,0,0.87,0.91,5.5,Spiral/Glassine,,0,?
Semroc,ST-857,Body Tube,0,0.87,0.91,5.7,Spiral/Glassine,,0,?
Semroc,ST-873,Body Tube,0,0.87,0.91,7.3,Spiral/Glassine,,0,?
Semroc,ST-880,Body Tube,0,0.87,0.91,8,Spiral/Glassine,,0,?
Semroc,ST-890,Body Tube,0,0.87,0.91,9,Spiral/Glassine,,0,?
Semroc,ST-9180,Body Tube,0,0.95,1,18,Spiral/Glassine,,0,?
Semroc,ST-930,Body Tube,0,0.95,1,3,Spiral/Glassine,,0,?
Semroc,ST-950,Body Tube,0,0.95,1,5,Spiral/Glassine,,0,?
Semroc,ST-990,Body Tube,0,0.95,1,9,Spiral/Glassine,,0,?
Apogee,10131,33mm x 18" Body Tube,0,1.280,1.320,18.000,Paper,,2,20.000
Apogee,10064,18mm x 2.75" Motor Mount,0,0.710,0.740,2.750,Paper,,2,8.100
Apogee,10102,24mm x 6" Clear Airframe,0,0.950,0.980,6.000,Polycarbonate,,2,4.600
Apogee,10251,29mm x 34" Thick Wall,0,1.140,1.210,34.000,Paper,,2,68.000
Apogee,10139,40mm x 9.9" Body Tube,0,1.580,1.600,9.900,Paper,,2,8.600
Apogee,10141,41.6mm x 18" Body Tube,0,1.600,1.640,18.000,Paper,,2,18.000
Apogee,10144,41.6mm x 18" Clear Airframe,0,1.600,1.640,18.000,Polycarbonate,,2,41.300
Apogee,10222,54mm x 14" Motor Mount,0,2.140,2.260,14.000,Paper,,2,78.100
Apogee,10165,56mm x 10" Clear Airframe,0,2.180,2.210,10.000,Polycarbonate,,2,29.300
Apogee,10164,56mm x 18" Body Tube,0,2.180,2.220,18.000,Paper,,2,36.600
Apogee,10198,66mm x 18" Body Tube,0,2.560,2.600,18.000,Paper,,2,38.200
Apogee,test,test,mm,13.208000,13.716000,457.200000,Paper,0,2,0.000000
Apogee,10202,74mm x 18" Body Tube,0,2.930,3.000,18.000,Paper,,2,79.200
Always Ready Rocketry,10500,29mm x 48" Blue Tube,0,1.140,1.280,48.000,Blue Tube,,2,235.000
Always Ready Rocketry,10501,38mm x 48" Blue Tube,0,1.500,1.620,48.000,Blue Tube,,2,295.000
Always Ready Rocketry,10503,2.56" x 48" Blue Tube,0,2.550,2.670,48.000,Blue Tube,,2,490.000
Always Ready Rocketry,10504,75mm x 48" Blue Tube,0,3.000,3.100,48.000,Blue Tube,,2,570.000
Always Ready Rocketry,10506,5.5" x 48" Blue Tube,0,5.360,5.520,48.000,Blue Tube,,2,1078.130
Always Ready Rocketry,10507,6" x 48" Blue Tube,0,5.970,6.080,48.000,Blue Tube,,2,1188.980
LOC/Precision,13160,"2.56"" Tube Coupler",0,2.490,2.560,5.000,Paper,,2,23.500
LOC/Precision,13158,54mm Tube Coupler,0,2.030,2.140,5.750,Paper,,2,29.100
LOC/Precision,13156,38mm Tube Coupler,0,1.450,1.520,4.000,Paper,,2,9.300
LOC/Precision,13154,29mm Tube Coupler,0,1.000,1.130,2.500,Paper,,2,6.700
LOC/Precision,13162,75mm Tube Coupler,0,2.880,2.990,6.000,Paper,,2,37.800
LOC/Precision,13164,98mm Tube Coupler,0,3.830,3.900,6.000,Paper,,2,32.400
LOC/Precision,13166,5.38" Tube Coupler,0,5.290,5.380,10.000,Paper,,2,111.400
